,index,frequency
1221,].[O-2,82
1222,[C@](C),82
1223,[C@@H]2O[C@H](C,82
1224,[C@@H](COC(=O)CCCCCCCC=CCC=CCCCCC),82
1225,OP(=O)([O-])[O-]),82
1226,OC[C@H]3,82
1227,O=c1c(,82
1228,COc1cc(/C=C/C(=O),82
1229,CCCCCC=CCCCCCCCC,82
1230,CCC(N)=O),82
1231,CCC/C=C/,82
1232,CC(=O)N[C@@H](C,82
1233,C=C(C)C1,82
1234,C1CCC2(C)C1C(O)CC1C3(C)CC,82
1235,C(=O)OC(,82
1236,C/C=C(\C),82
1237,(c1ccccc1),82
1238,n4cnc5,81
1239,c3cc(OC),81
1240,c2ncc,81
1241,[C@]1(C),81
1242,[C@H](NC(=O),81
1243,CCCCCCCCCC(=O),81
1244,CC/C=C\C/C=C\C/C=C\,81
1245,CC(OC6OC(CO)C(OC7,81
1246,CC[C@H](C),81
1247,C1(C)C,81
1248,C(OC3OC(CO)C(O)C(O)C3O),81
1249,C(=O)OC[C@H](CO),81
1250,=C/,81
1251,ccc2,80
1252,c2cc(OC),80
1253,[o+]c2-,80
1254,P(=O)(O)O),80
1255,OC(=O)CCCCCCCC=CCC=CCCCCC,80
1256,C[C@]12CC[C@H]3[C@@H](,80
1257,C[C@@H]1O[C@@H](,80
1258,COP(=O)([O-]),80
1259,C(O)C3O),80
1260,C(CC),80
1261,cnc4,79
1262,c5c(,79
1263,c1c(O)cc(O)c2c1,79
1264,c(CCC(=O)O),79
1265,O=C(OC1,79
1266,C(C)C1CCC2C3,79
1267,c6cc,78
1268,c2ccc(F)cc,78
1269,c(O)n,78
1270,[nH]2),78
1271,Cc1cn,78
1272,CCCCC/C=C\C/C=C\C/C=C\,78
1273,C(O)C2O)C(O)C(O)C1O,78
1274,C(=O)O[C@H](COC(=O)CCCCCCCCCC=,78
1275,Al,78
1276,(C(=O)O)CCC3(C)C(=CCC4C5(C)CC,78
1277,c3cc(O)cc(O)c3c2=O),77
1278,c2ccccc2)cc1,77
1279,c1OC),77
1280,OC(=O)CCCC=CCC=CCC=CCCCCCCCC,77
1281,N=C1,77
1282,CC(O)=N,77
1283,C1=C(C),77
1284,C(=O)O[C@@H](CO)COC(=O)CCCCCCCC,77
1285,C[C@@H](C),77
1286,C/C=C(/C),77
1287,4C),77
1288,nc(N,76
1289,c2cc(O)c(O)c(O),76
1290,[C@@]21C,76
1291,Oc2cc(O)c3c(=O),76
1292,OCC(O)C(O)C3O),76
1293,Oc3cc(O),76
1294,COc1cc(-c2[o+],76
1295,CN2,76
1296,=C(C),76
1297,c(O)c(OC)c1,75
1298,[C@@H](O)[C@H](O)[C@H](O),75
1299,[C@@H](CO)O[C@@H](,75
1300,[C@@H]5,75
1301,C[C@H]3O,75
1302,C[C@H](CCC(=O)O),75
1303,CC[C@@]43C)[C@@H]1,75
1304,CC35,75
1305,[C@@]1(C),74
1306,OC(CO)C(O)C2O)C(O)C(O)C1O,74
1307,CCCCCCCCCCCCCCCCCCCCCC(=O),74
1308,CCCCCC=CCC=CCCCCCCCCC,74
1309,CC1(C)C,74
1310,=C1,74
1311,2C),74
1312,1)N,74
1313,/N=C(,74
1314,n2cc,73
1315,c3cc(O)c(O)c(O)c3-,73
1316,c(C)n,73
1317,c(F)cc,73
1318,[P@@](=O)(O),73
1319,[Cl,73
1320,OC(COC2,73
1321,N=C(O)[C@H](,73
1322,COc1ccc(C2,73
1323,CCCCC[C@H](O),73
1324,CCCCC(=O)O,73
1325,CC[C@H](O),73
1326,CC/C=C(/C),73
1327,C(OC6OC(C(=O)O)C(O),73
1328,C(=O)O[C@H]1,73
1329,=N/,73
1330,1O,73
1331,c2c(n,72
1332,c2)ccc1O,72
1333,c(-c2ccc(O)cc2),72
1334,OC[C@H]3O[C@@H](,72
1335,OC[C@@H](O)COP(=O)(O)O,72
1336,OCC(O)C(O)C7O),72
1337,O=c1cc,72
1338,C[C@H](NC(=O),72
1339,CCC3(C)C(,72
1340,CC1=C2,72
1341,CC(=,72
1342,C2(C)C,72
1343,C1O)NC(=O),72
1344,Cc2cc,72
1345,oc3cc(O)cc(O)c3c2=O),71
1346,ccc12,71
1347,c5c4,71
1348,c(OC)c1,71
1349,c(O)c2,71
1350,OC(C(=O)O)C(O)C(O),71
1351,N[C@H]1,71
1352,CCCN1C(=O),71
1353,CC1=O,71
1354,CC(O)(,71
1355,C2C1,71
1356,C(=O)OC[C@@H](COC(=O)CCCCCCCC,71
1357,5CC35,71
1358,c1c(O)cc,70
1359,[nH]c(=O),70
1360,[C@@]2(C),70
1361,I)c(,70
1362,C[C@]2,70
1363,COc1ccc(-c2cc,70
1364,COc1cc2c(,70
1365,COC1OC(CO)C(O)C(O)C1O,70
1366,CC[C@@]21C)[C@@]1(C)CC,70
1367,CCCCCCCCCCCCCCCCCCCC(=O),70
1368,CCCCCC/C=C\,70
1369,CCCC(C)C),70
1370,CCC(N),70
1371,CC[C@@H](,70
1372,C=C(\C),70
1373,C(C)(C)CC(O),70
1374,c2c(O)cc,69
1375,S(C)(=O)=O),69
1376,O=C(/C=C/c1ccc(O)c(O)c1),69
1377,O2)O1,69
1378,Cc1ccc(O)cc,69
1379,CCC(C)C1CCC2C3,69
1380,(C)CCC2,69
1381,oc3c2),68
1382,c3ccccc23),68
1383,c1cc(OC),68
1384,c1ccc(O)c(O)c1,68
1385,O[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3CC(C)=O),68
1386,O[C@@H](CO)COC(=O)CCCCCCCC,68
1387,OC2=O),68
1388,COc1cc(-c2o,68
1389,CCCCCCCC(=O)O,68
1390,C=CC1=C(C),68
1391,C=C1CCC2,68
1392,C(O)C(=O)N,68
1393,C(Cl),68
1394,(C#N),68
1395,c[n+],67
1396,[nH]1,67
1397,[C@H](O)[C@@H]1O,67
1398,S(=O)(=O)N,67
1399,OC8,67
1400,O=P([O-])([O-]),67
1401,CCSC(=O),67
1402,CCCCCCCCCCCCCC(=O),67
1403,CC(C)C,67
1404,C(O)C(O)C1O),67
1405,C(=O)OC),67
1406,[Si,66
1407,S1,66
1408,O.O.O.O.,66
1409,COc1ccc2c(c1),66
1410,CCC5(C)C4CCC3(C)C1C2C,66
1411,C=C1C(=O)OC2,66
1412,C2(O),66
1413,C(C)(C)C3,66
1414,C(=S),66
1415,C[N+],66
1416,1)C(=O)O,66
1417,(O)(=S),66
1418,(C(=O)OC3OC(CO)C(O)C(O)C3O),66
1419,c2ccccc12,65
1420,c-2,65
1421,[C@H]1CC[C@H]2[C@H]3,65
1422,[C@@]4,65
1423,[C@@H](O)C[C@H]1,65
1424,O[C@H](COC(=O)CCCC=CCC=CCC=,65
1425,COc1cc(-c2cc,65
1426,C2OC(=O),65
1427,C(OC7OC(CO)C(O)C(O)C7O),65
1428,(C3,65
1429,oc4,64
1430,cc(O)c(O)c3O),64
1431,c5ccc(O)cc,64
1432,c3c(cc(O)c(O)c3O),64
1433,c1ccc(OC),64
1434,c(O)cc(O)cc4,64
1435,[C@H]3NC(C)=O),64
1436,[C@H](O)[C@H](O)[C@H]1O,64
1437,OCC(=O),64
1438,O[C@H]4,64
1439,C[C@]1,64
1440,CCCC=CCCCCCCCC,64
1441,CCC21C),64
1442,C6O)C(C)(C)C5CCC43C)C2C1,64
1443,.[K,64
1444,oc(-,63
1445,c34),63
1446,c(O)c3,63
1447,[C@@H](OC(=O),63
1448,O=C(O)C1,63
1449,CCCCCC=CCC=CCCCCCCCC(=O)OC[C@H](COP(=O)(O),63
1450,CCCCC2),63
1451,CC(O)C4,63
1452,CC(C(=O)O),63
1453,C5CCC4(C)C3,63
1454,C4(C)C),63
1455,C/C1=C,63
1456,C(=O)O[C@H](COC(=O)CCCCCCCCCCCC,63
1457,CS(=O)(=O),63
1458,=CCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,63
1459,+3],63
1460,cs1,62
1461,c4ccc(,62
1462,c3ccc(O)cc3,62
1463,c1ccc(F)cc,62
1464,c1c[nH]c2ccccc12),62
1465,c(CC=C(C)C),62
1466,[Si],62
1467,[C@@H](CO)O,62
1468,P(O)(=S),62
1469,O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O,62
1470,OC[C@H]1O[C@H](,62
1471,O=C(O[C@@H]1,62
1472,O)C(=O)O,62
1473,Oc2ccc(,62
1474,CC[C@]12C,62
1475,CCC(=O)O)C(=O)O),62
1476,C1O)OC(=O)CCCCCCCCCCCCCCC,62
1477,C(O)C(,62
1478,C(C)OC(,62
1479,C(=N\,62
1480,C(CC,62
1481,Cc1cccc,62
1482,3)n,62
1483,-].[OH,62
1484,c4ccc(O)cc4,61
1485,c2c(O)cc(O)cc2,61
1486,].[O-2].[O-2,61
1487,[C@H](C)CC,61
1488,SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C),61
1489,SC1,61
1490,O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O),61
1491,OC3=O),61
1492,CSS,61
1493,COc1cc(O)c2c(=O),61
1494,CN1C(=O),61
1495,CC12C,61
1496,C=C[C@],61
1497,C=C4,61
1498,C1CC3,56
1499,C(C)(,61
1500,=CCC4,61
1501,/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/,61
1502,c5),60
1503,c4ccccc4),60
1504,c2)cc1,60
1505,c1nc(C),60
1506,c1cccc(-,60
1507,c1ccco1,60
1508,c(OC)cc3,60
1509,[Na+].[Na+],60
1510,[C@H]4O)[C@H]3CC(C)=O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]4(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1,60
1511,[C@H]4O)[C@H]3CC(C)=O)[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]4(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]5(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O5)O4)O3)[C@H]2O)[C@H](O)[C@H]1,60
1512,[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]4(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]5(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O5)O4)O3)[C@H]2O)[C@H](O)[C@H]1,60
1513,P(=O)(O)O,60
1514,OP(=O)([O-])[O-],60
1515,OC2CC3C4,60
1516,C[C@H](O)[C@@H](C,60
1517,CC[C@]2(C),60
1518,CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=,60
1519,CC=C4C[C@@H](O),60
1520,C=N,60
1521,C(N)=O,60
1522,C(C)(C=O),60
1523,=C3,60
1524,1(C),60
1525,oc2cc(,59
1526,ccc(=O)o,59
1527,c2c(O),59
1528,c(Cl)c(Cl),59
1529,[C@@H](O)[C@H](O)[C@H]2O),59
1530,[C@@H](O)[C@H](,59
1531,[C@@H](C)O),59
1532,OC(CO)C(O)C(O)C8O),59
1533,O=S(=O)([O-]),59
1534,O)cc1,59
1535,COc1cc(OC),59
1536,CCCN2C(=O),59
1537,CCCCCC=CCC=CCC=CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC,59
1538,CCC(C)(O),59
1539,CC=CCC=CCCCCC,59
1540,/C=C(/,59
1541,+3].[,59
1542,(c2ccccc2),59
1543,c(O)c12,58
1544,\C=C\C=C(C)\C=C\,58
1545,SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,58
1546,OC(=O)CCCC=CCC=CCC=CCC=CCCCCC,58
1547,OC[C@H](N)C(=O)O),58
1548,OCO3),58
1549,O=C(O)[C@H]1,58
1550,COP(=O)(O)O),58
1551,CN(C)CC,58
1552,CCCCN,58
1553,CCC=CCC=CCC=CCC=CCCCCCCC(=O),58
1554,CCC=CCC=CCC=CCCCCC,58
1555,CC2(C),58
1556,C(O)CO),58
1557,C[C@@H](C,58
1558,/C=C/C=C\,58
1559,cc12,57
1560,c3ccccc3)cc,57
1561,c2cc3c(,57
1562,c(=O)n,57
1563,c(-c2ccc(O)c(O)c2),57
1564,[NH3,57
1565,[C@H](Cc1ccccc1),57
1566,OC(C)C(O)C(O)C7O),57
1567,OC(c1ccc(O)c(O)c1),57
1568,CO2,57
1569,CO.,57
1570,CC1(C)C),57
1571,CC(C)CCC[C@@H](C),57
1572,C=C1\,57
1573,C(O)C(O)C2O)C(O)C(O)C1O,57
1574,C[N+](C)(C)C,57
1575,(C(=O)OC3OC(CO)C(O)C(O)C3O)CCC3(C)C(=CCC4C5(C)CC,57
1576,oc4cc(O)cc(O),56
1577,c4cc5,56
1578,c3cccc(,56
1579,c1C(=O),56
1580,c(O)c(OC)c3),56
1581,c(=O)[nH]c1=O,56
1582,\C=C\C(C)=C,56
1583,[N+](=O)[O-],56
1584,O[C@H](c1ccc(O)c(O)c1)[C@H](O),56
1585,O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O),56
1586,OCC(O)(CO),56
1587,OCC(,56
1588,CO[C@H]1,56
1589,CC[C@@H]1[C@@H]2,56
1590,CCCCC/C=C/,56
1591,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O[C@H](COC(=O)CCCCCCCC,56
1592,CCC12C)C(C)C,56
1593,C=C(/C),56
1594,C2(C)C3,56
1595,C1CC(=O),56
1596,C(=O)CO,56
1597,C(O,56
1598,+]),56
1599,n(-,55
1600,c2ncn(,55
1601,c2cccc(O),55
1602,c2co,55
1603,[C@@]5,55
1604,O[C@H]1C(O)C(O)C(OP(=O)(O)O)[C@@H](OP(=O)(O)O)C1O,55
1605,OP(=O)([O-])OCC[N+](C)(C)C)OC=CCCCCCCC,55
1606,OCC(O)C(O)C2O),55
1607,OC2=O)O1,55
1608,OC2OC(C,55
1609,Cc1cn(,55
1610,CCCCCCCCCCCC(=O),55
1611,CCCCC/C=C\C/C=C\,55
1612,CCCC(O),55
1613,CCC=CCC=CCC=CCC=CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC,55
1614,CC3(C)C(=CCC4C5(C)CC,55
1615,CC(CO),55
1616,C3(C),55
1617,C)C1(C)CC,55
1618,C(OC2OC(CO)C(O)C(O)C2O),55
1619,=CCCCCCCCC)COP(=O)(O)OCCN,55
1620,/N=N/,55
1621,c2c([nH],54
1622,c1ccc(N,54
1623,c1ccc(C),54
1624,[C@@H]1CCCN1C(=O),54
1625,SC1OC(CO)C(O)C(O)C1O,54
1626,OC(C)C(O)C(O)C2O),54
1627,OC(C)(C)C=C,54
1628,Oc2cc(,54
1629,O3,54
1630,CC[C@H]2[C@@H]3CCC4=CC(=O),54
1631,CC[C@@]3(C),54
1632,CCN(C,54
1633,CCC6(C),54
1634,CCC(C)C1CCC2(C)C3,54
1635,CC(C)(COP(=O)(O)OP(=O)(O),54
1636,C=CC(O),54
1637,C(OC6OC(C(=O)O)C(O)C(O),54
1638,C(O)CC5,54
1639,C(C)(C)C(O),54
1640,C[C@@H]3,54
1641,(C)CC2,54
1642,c4c(=O),53
1643,c3cc(O)cc(O)c3cc2,53
1644,c3cc(O)cc(O)c3,53
1645,c1c[nH],53
1646,[Ca+2],53
1647,[C@@H](O)[C@@H]1,53
1648,OC[C@H]3O[C@@H](n4cnc5,53
1649,NC1,53
1650,CC(=O)N1,53
1651,C7OC7OC(CO)C(O)C(O)C7O),53
1652,C1OC(=O),53
1653,C(OC6OC(C(=O)O)C(O)C(OC7,53
1654,C(=O)N(C),53
1655,C(=O)O[C@H](COC=CCCCCCCC,53
1656,C[C@H](C,53
1657,(C)C4CCC3(C),53
1658,c2ccccc2)cc,52
1659,c(O)c(O)c(O),52
1660,c(N)nc2=O),52
1661,[C@H]6O),52
1662,[C@H](O)CO),52
1663,[C@H](C(=O)O),52
1664,O[C@H](CO)[C@@H](O)[C@@H]1O,52
1665,OCC(O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCC=CCC=CCCCCC),52
1666,Cc1c(,52
1667,COc1ccc(-c2o,52
1668,CO1,52
1669,CCC(=O)NCCSC(=O),52
1670,CC1OC(OCC2OC(,52
1671,CC1O,52
1672,CC(=O)OCC1OC(,52
1673,CC(CCC1,52
1674,CCc1ccccc1),52
1675,C=CC(C)(,52
1676,C(=O)OC[C@@H](O),52
1677,=CCCCCCCCC)COP(=O)(O),52
1678,2)c1,52
1679,-].[OH-].[OH,52
1680,oc4cc(O)cc(O)c4c3=O),51
1681,cc2)cc1,51
1682,c5cccc,51
1683,c(O)c(CC=C(C)C),51
1684,c(C#N),51
1685,[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O3)[C@H]2O)[C@H](O)[C@H]1O)[C@H](O)CCCCCCCCCCCCCCC,51
1686,OC(=O)CCCCC=CCC=CCC=,51
1687,Nc1ncnc2c1ncn2[C@@H]1O[C@H](C,51
1688,Nc1nc(=O),51
1689,CC[C@H]3[C@@H]1,51
1690,CCCCCCCCC=CCCCCCCCCC,51
1691,CCCCCC=CCC=CCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC,51
1692,CCC45CC35,51
1693,CC(O)C(,51
1694,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1,51
1695,C2OC2,51
1696,C2C(,51
1697,C(O)C(C)(CO),51
1698,C#N),51
1699,nc2,50
1700,c4-,50
1701,c1ccccc1O,50
1702,c1C2=O,50
1703,c(O)cc2o,50
1704,[C@]12,50
1705,[C@H](O[C@]3(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@@H](CO)O[C@]4(C(=O)O)C[C@H](O)[C@@H](NC(C)=O)C([C@H](O)[C@H](O)CO)O4)O3)[C@H]2O)[C@H](O)[C@H]1,50
1706,Oc2c(-c3ccc(O)cc3),50
1707,O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O),50
1708,OC(CO)C(O)C3O),50
1709,OC(CO)C(O)C(OC8,50
1710,NC(=O)[C@@H](,50
1711,CC[C@]4(C)C3CC[C@@]21C),50
1712,CC[C@]3(C),50
1713,CCCCCCC=CCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC,50
1714,CCCCCC=CCC=CCC=CCCCCCCC(=O),50
1715,CCCC(,50
1716,CCC[C@H](C),50
1717,CC=C(C)C,50
1718,CC(=O)[O-])C[N+](C)(C)C,50
1719,C4=CC(=O),50
1720,C(=O)NC(,50
1721,(N,50
